image_path,label,xmin,ymin,xmax,ymax
VOCdevkit/VOC2008/JPEGImages/2008_000008.jpg,horse,53.6381,87.1381,470.6157,419.2276
VOCdevkit/VOC2008/JPEGImages/2008_000008.jpg,person,158.1157,44.2276,288.7127,166.4291
VOCdevkit/VOC2008/JPEGImages/2008_000015.jpg,bottle,270.056,1.0,377.3321,175.1604
VOCdevkit/VOC2008/JPEGImages/2008_000015.jpg,bottle,57.3694,1.0,163.7127,149.041
VOCdevkit/VOC2008/JPEGImages/2008_000019.jpg,dog,139.2537,2.1194,371.194,196.4478
VOCdevkit/VOC2008/JPEGImages/2008_000019.jpg,dog,165.6128,66.5151,317.7975,235.325
VOCdevkit/VOC2008/JPEGImages/2008_000019.jpg,dog,361.7052,0.0,480.0,111.2753
VOCdevkit/VOC2008/JPEGImages/2008_000023.jpg,tvmonitor,6.0916,1.0,313.0744,261.1989
VOCdevkit/VOC2008/JPEGImages/2008_000023.jpg,bottle,40.3472,97.1673,120.7161,410.0791
VOCdevkit/VOC2008/JPEGImages/2008_000023.jpg,person,137.1851,36.5613,168.8057,108.3663
VOCdevkit/VOC2008/JPEGImages/2008_000023.jpg,person,180.6634,36.5613,215.5777,103.7549
VOCdevkit/VOC2008/JPEGImages/2008_000023.jpg,person,96.3419,39.1963,122.0336,102.4374
VOCdevkit/VOC2008/JPEGImages/2008_000028.jpg,car,158.4375,199.6875,230.3125,239.6875
VOCdevkit/VOC2008/JPEGImages/2008_000028.jpg,car,47.1875,202.1875,93.4375,237.8125
VOCdevkit/VOC2008/JPEGImages/2008_000033.jpg,aeroplane,104.2799,61.2011,475.8832,256.1739
VOCdevkit/VOC2008/JPEGImages/2008_000036.jpg,bicycle,120.5842,1.0,202.106,34.6467
VOCdevkit/VOC2008/JPEGImages/2008_000036.jpg,bicycle,117.8668,38.7228,272.7582,120.9239
VOCdevkit/VOC2008/JPEGImages/2008_000036.jpg,person,206.1821,74.0489,394.3614,236.413
VOCdevkit/VOC2008/JPEGImages/2008_000036.jpg,boat,24.1168,2.7174,500.0,187.5
VOCdevkit/VOC2008/JPEGImages/2008_000036.jpg,boat,1.0,187.5,499.6603,281.25
VOCdevkit/VOC2008/JPEGImages/2008_000037.jpg,aeroplane,47.2147,157.462,449.3886,281.1033
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,271.5625,170.9375,385.3125,233.4375
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,295.9375,189.6875,327.1875,230.9375
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,206.5625,176.5625,255.3125,235.9375
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,122.1875,162.1875,197.1875,329.0625
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,457.1875,212.8125,499.0625,296.5625
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,438.4375,173.4375,500.0,242.8125
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,chair,351.5625,272.8125,451.5625,375.0
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,chair,265.9375,250.9375,352.1875,363.4375
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,chair,189.6875,260.3125,285.9375,375.0
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,diningtable,149.0625,224.0625,401.5625,330.3125
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,pottedplant,54.0625,189.6875,83.4375,213.4375
VOCdevkit/VOC2008/JPEGImages/2008_000041.jpg,person,358.2143,188.5714,468.2143,358.5714
VOCdevkit/VOC2008/JPEGImages/2008_000045.jpg,train,45.2425,42.444,454.7575,341.8843
VOCdevkit/VOC2008/JPEGImages/2008_000053.jpg,dog,54.6875,2.1875,500.0,375.0
VOCdevkit/VOC2008/JPEGImages/2008_000060.jpg,cat,1.0,32.597,342.8955,336.0
VOCdevkit/VOC2008/JPEGImages/2008_000066.jpg,dog,1.0,9.1051,438.4303,500.0
VOCdevkit/VOC2008/JPEGImages/2008_000070.jpg,tvmonitor,180.1036,260.355,212.6479,292.8994
VOCdevkit/VOC2008/JPEGImages/2008_000070.jpg,chair,367.9734,244.8225,446.3757,352.8107
VOCdevkit/VOC2008/JPEGImages/2008_000070.jpg,chair,255.5473,247.7811,370.1923,375.0
VOCdevkit/VOC2008/JPEGImages/2008_000074.jpg,car,46.2101,178.5239,386.6356,334.7739
VOCdevkit/VOC2008/JPEGImages/2008_000085.jpg,car,1.0,0.0,394.6144,375.0
VOCdevkit/VOC2008/JPEGImages/2008_000089.jpg,chair,71.1946,18.9906,306.8866,493.4964
VOCdevkit/VOC2008/JPEGImages/2008_000093.jpg,tvmonitor,392.9571,3.7313,478.778,94.2164
VOCdevkit/VOC2008/JPEGImages/2008_000093.jpg,chair,307.6026,178.6381,411.6138,279.8507
VOCdevkit/VOC2008/JPEGImages/2008_000093.jpg,chair,328.5914,194.4963,472.2481,327.4254
VOCdevkit/VOC2008/JPEGImages/2008_000093.jpg,sofa,143.4235,163.7127,319.7295,246.2687
VOCdevkit/VOC2008/JPEGImages/2008_000093.jpg,sofa,1.0,173.9739,144.3563,316.6978
VOCdevkit/VOC2008/JPEGImages/2008_000095.jpg,bird,251.2357,161.0302,286.0952,269.7711
